#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  -.170688712489559E+00  -.457517135638126E-16
     chi_1_1=  0.100000000000000E-01  -.170688818962472E+00  -.110830616899349E-04
     chi_1_1=  0.200000000000000E-01  -.170689138379508E+00  -.221670645309961E-04
     chi_1_1=  0.300000000000000E-01  -.170689670735532E+00  -.332529501977006E-04
     chi_1_1=  0.400000000000000E-01  -.170690416021929E+00  -.443416614101114E-04
     chi_1_1=  0.500000000000000E-01  -.170691374226506E+00  -.554341424541523E-04
     chi_1_1=  0.600000000000000E-01  -.170692545333365E+00  -.665313396988058E-04
     chi_1_1=  0.700000000000000E-01  -.170693929322740E+00  -.776342021091606E-04
     chi_1_1=  0.800000000000000E-01  -.170695526170784E+00  -.887436817541634E-04
     chi_1_1=  0.900000000000000E-01  -.170697335849340E+00  -.998607343078874E-04
     chi_1_1=  0.100000000000000E+00  -.170699358325641E+00  -.110986319543018E-03
     chi_1_1=  0.110000000000000E+00  -.170701593562014E+00  -.122121401815201E-03
     chi_1_1=  0.120000000000000E+00  -.170704041515499E+00  -.133266950536758E-03
     chi_1_1=  0.130000000000000E+00  -.170706702137463E+00  -.144423940638183E-03
     chi_1_1=  0.140000000000000E+00  -.170709575373157E+00  -.155593353015671E-03
     chi_1_1=  0.150000000000000E+00  -.170712661161232E+00  -.166776174962822E-03
     chi_1_1=  0.160000000000000E+00  -.170715959433219E+00  -.177973400584456E-03
     chi_1_1=  0.170000000000000E+00  -.170719470112963E+00  -.189186031190334E-03
     chi_1_1=  0.180000000000000E+00  -.170723193116014E+00  -.200415075666394E-03
     chi_1_1=  0.190000000000000E+00  -.170727128348976E+00  -.211661550820887E-03
     chi_1_1=  0.200000000000000E+00  -.170731275708810E+00  -.222926481702606E-03
     chi_1_1=  0.210000000000000E+00  -.170735635082098E+00  -.234210901888191E-03
     chi_1_1=  0.220000000000000E+00  -.170740206344255E+00  -.245515853735226E-03
     chi_1_1=  0.230000000000000E+00  -.170744989358700E+00  -.256842388597671E-03
     chi_1_1=  0.240000000000000E+00  -.170749983975989E+00  -.268191566999846E-03
     chi_1_1=  0.250000000000000E+00  -.170755190032894E+00  -.279564458765045E-03
     chi_1_1=  0.260000000000000E+00  -.170760607351446E+00  -.290962143094520E-03
     chi_1_1=  0.270000000000000E+00  -.170766235737934E+00  -.302385708592422E-03
     chi_1_1=  0.280000000000000E+00  -.170772074981860E+00  -.313836253232023E-03
     chi_1_1=  0.290000000000000E+00  -.170778124854865E+00  -.325314884258332E-03
     chi_1_1=  0.300000000000000E+00  -.170784385109608E+00  -.336822718022109E-03
     chi_1_1=  0.310000000000000E+00  -.170790855478617E+00  -.348360879740013E-03
     chi_1_1=  0.320000000000000E+00  -.170797535673106E+00  -.359930503175661E-03
     chi_1_1=  0.330000000000000E+00  -.170804425381770E+00  -.371532730236192E-03
     chi_1_1=  0.340000000000000E+00  -.170811524269556E+00  -.383168710479037E-03
     chi_1_1=  0.350000000000000E+00  -.170818831976422E+00  -.394839600523605E-03
     chi_1_1=  0.360000000000000E+00  -.170826348116076E+00  -.406546563362817E-03
     chi_1_1=  0.370000000000000E+00  -.170834072274721E+00  -.418290767569676E-03
     chi_1_1=  0.380000000000000E+00  -.170842004009806E+00  -.430073386394432E-03
     chi_1_1=  0.390000000000000E+00  -.170850142848783E+00  -.441895596748432E-03
     chi_1_1=  0.400000000000000E+00  -.170858488287894E+00  -.453758578071389E-03
     chi_1_1=  0.410000000000000E+00  -.170867039790993E+00  -.465663511079649E-03
     chi_1_1=  0.420000000000000E+00  -.170875796788405E+00  -.477611576393971E-03
     chi_1_1=  0.430000000000000E+00  -.170884758675852E+00  -.489603953046514E-03
     chi_1_1=  0.440000000000000E+00  -.170893924813441E+00  -.501641816868074E-03
     chi_1_1=  0.450000000000000E+00  -.170903294524745E+00  -.513726338758119E-03
     chi_1_1=  0.460000000000000E+00  -.170912867095969E+00  -.525858682841854E-03
     chi_1_1=  0.470000000000000E+00  -.170922641775239E+00  -.538040004520464E-03
     chi_1_1=  0.480000000000000E+00  -.170932617772005E+00  -.550271448422599E-03
     chi_1_1=  0.490000000000000E+00  -.170942794256584E+00  -.562554146267386E-03
     chi_1_1=  0.500000000000000E+00  -.170953170359857E+00  -.574889214651354E-03
     chi_1_1=  0.510000000000000E+00  -.170963745173122E+00  -.587277752773909E-03
     chi_1_1=  0.520000000000000E+00  -.170974517748116E+00  -.599720840118122E-03
     chi_1_1=  0.530000000000000E+00  -.170985487097213E+00  -.612219534105587E-03
     chi_1_1=  0.540000000000000E+00  -.170996652193814E+00  -.624774867745922E-03
     chi_1_1=  0.550000000000000E+00  -.171008011972905E+00  -.637387847302852E-03
     chi_1_1=  0.560000000000000E+00  -.171019565331799E+00  -.650059449999818E-03
     chi_1_1=  0.570000000000000E+00  -.171031311131064E+00  -.662790621788462E-03
     chi_1_1=  0.580000000000000E+00  -.171043248195605E+00  -.675582275202913E-03
     chi_1_1=  0.590000000000000E+00  -.171055375315893E+00  -.688435287321784E-03
     chi_1_1=  0.600000000000000E+00  -.171067691249337E+00  -.701350497857551E-03
     chi_1_1=  0.610000000000000E+00  -.171080194721749E+00  -.714328707389984E-03
     chi_1_1=  0.620000000000000E+00  -.171092884428896E+00  -.727370675756045E-03
     chi_1_1=  0.630000000000000E+00  -.171105759038101E+00  -.740477120603448E-03
     chi_1_1=  0.640000000000000E+00  -.171118817189846E+00  -.753648716108776E-03
