#  Chi is reported as CHI_(i)_(j) \hbar \omega (meV)  Re(chi) (mu_B^2/meV) Im(chi) (mu_B^2/meV) 
     chi_1_2=  0.400000000000000E+03  -.374608928727772E-03  0.370298478994012E-01
     chi_2_2=  0.400000000000000E+03  0.825426195191263E-02  0.723123496113833E-04
     chi_3_2=  0.400000000000000E+03  -.462329030965419E-12  0.603163937295062E-12
     chi_1_2=  0.400100000000000E+03  -.376023028273884E-03  0.371048974301905E-01
     chi_2_2=  0.400100000000000E+03  0.826874927770142E-02  0.725875203746875E-04
     chi_3_2=  0.400100000000000E+03  -.463173833751436E-12  0.604243399205065E-12
     chi_1_2=  0.400200000000000E+03  -.377445184046433E-03  0.371802304832159E-01
     chi_2_2=  0.400200000000000E+03  0.828329177423307E-02  0.728642580060384E-04
     chi_3_2=  0.400200000000000E+03  -.464021893609306E-12  0.605326943300241E-12
     chi_1_2=  0.400300000000000E+03  -.378875457339354E-03  0.372558486748706E-01
     chi_2_2=  0.400300000000000E+03  0.829788975588239E-02  0.731425744269590E-04
     chi_3_2=  0.400300000000000E+03  -.464873229325126E-12  0.606414592671849E-12
     chi_1_2=  0.400400000000000E+03  -.380313910030606E-03  0.373317536338535E-01
     chi_2_2=  0.400400000000000E+03  0.831254353941765E-02  0.734224816725624E-04
     chi_3_2=  0.400400000000000E+03  -.465727859829744E-12  0.607506370585649E-12
     chi_1_2=  0.400500000000000E+03  -.381760604588883E-03  0.374079470012877E-01
     chi_2_2=  0.400500000000000E+03  0.832725344402362E-02  0.737039918928595E-04
     chi_3_2=  0.400500000000000E+03  -.466585804200173E-12  0.608602300483583E-12
     chi_1_2=  0.400600000000000E+03  -.383215604080388E-03  0.374844304308384E-01
     chi_2_2=  0.400600000000000E+03  0.834201979132453E-02  0.739871173540736E-04
     chi_3_2=  0.400600000000000E+03  -.467447081660989E-12  0.609702405985415E-12
     chi_1_2=  0.400700000000000E+03  -.384678972175675E-03  0.375612055888327E-01
     chi_2_2=  0.400700000000000E+03  0.835684290540709E-02  0.742718704399730E-04
     chi_3_2=  0.400700000000000E+03  -.468311711585751E-12  0.610806710890417E-12
     chi_1_2=  0.400800000000000E+03  -.386150773156622E-03  0.376382741543796E-01
     chi_2_2=  0.400800000000000E+03  0.837172311284436E-02  0.745582636532276E-04
     chi_3_2=  0.400800000000000E+03  -.469179713498447E-12  0.611915239179075E-12
     chi_1_2=  0.400900000000000E+03  -.387631071923524E-03  0.377156378194965E-01
     chi_2_2=  0.400900000000000E+03  0.838666074271981E-02  0.748463096167861E-04
     chi_3_2=  0.400900000000000E+03  -.470051107074987E-12  0.613028015014854E-12
     chi_1_2=  0.401000000000000E+03  -.389119934002213E-03  0.377932982892304E-01
     chi_2_2=  0.401000000000000E+03  0.840165612665131E-02  0.751360210752642E-04
     chi_3_2=  0.401000000000000E+03  -.470925912144653E-12  0.614145062745910E-12
     chi_1_2=  0.401100000000000E+03  -.390617425551274E-03  0.378712572817835E-01
     chi_2_2=  0.401100000000000E+03  0.841670959881521E-02  0.754274108963454E-04
     chi_3_2=  0.401100000000000E+03  -.471804148691589E-12  0.615266406906847E-12
     chi_1_2=  0.401200000000000E+03  -.392123613369483E-03  0.379495165286423E-01
     chi_2_2=  0.401200000000000E+03  0.843182149597183E-02  0.757204920722276E-04
     chi_3_2=  0.401200000000000E+03  -.472685836856349E-12  0.616392072220552E-12
     chi_1_2=  0.401300000000000E+03  -.393638564903169E-03  0.380280777747050E-01
     chi_2_2=  0.401300000000000E+03  0.844699215748986E-02  0.760152777210580E-04
     chi_3_2=  0.401300000000000E+03  -.473570996937408E-12  0.617522083599964E-12
     chi_1_2=  0.401400000000000E+03  -.395162348253818E-03  0.381069427784127E-01
     chi_2_2=  0.401400000000000E+03  0.846222192537209E-02  0.763117810884088E-04
     chi_3_2=  0.401400000000000E+03  -.474459649392722E-12  0.618656466149940E-12
     chi_1_2=  0.401500000000000E+03  -.396695032185664E-03  0.381861133118774E-01
     chi_2_2=  0.401500000000000E+03  0.847751114428037E-02  0.766100155487547E-04
     chi_3_2=  0.401500000000000E+03  -.475351814841268E-12  0.619795245169040E-12
     chi_1_2=  0.401600000000000E+03  -.398236686133505E-03  0.382655911610200E-01
     chi_2_2=  0.401600000000000E+03  0.849286016156221E-02  0.769099946069939E-04
     chi_3_2=  0.401600000000000E+03  -.476247514064672E-12  0.620938446151470E-12
     chi_1_2=  0.401700000000000E+03  -.399787380210544E-03  0.383453781257031E-01
     chi_2_2=  0.401700000000000E+03  0.850826932727679E-02  0.772117318999721E-04
     chi_3_2=  0.401700000000000E+03  -.477146768008802E-12  0.622086094788955E-12
     chi_1_2=  0.401800000000000E+03  -.401347185216347E-03  0.384254760198654E-01
     chi_2_2=  0.401800000000000E+03  0.852373899422113E-02  0.775152411980303E-04
     chi_3_2=  0.401800000000000E+03  -.478049597785381E-12  0.623238216972637E-12
     chi_1_2=  0.401900000000000E+03  -.402916172644913E-03  0.385058866716623E-01
     chi_2_2=  0.401900000000000E+03  0.853926951795729E-02  0.778205364065755E-04
     chi_3_2=  0.401900000000000E+03  -.478956024673634E-12  0.624394838795018E-12
     chi_1_2=  0.402000000000000E+03  -.404494414692909E-03  0.385866119236047E-01
     chi_2_2=  0.402000000000000E+03  0.855486125683939E-02  0.781276315676819E-04
     chi_3_2=  0.402000000000000E+03  -.479866070121970E-12  0.625555986551947E-12
     chi_1_2=  0.402100000000000E+03  -.406081984267915E-03  0.386676536326986E-01
     chi_2_2=  0.402100000000000E+03  0.857051457204091E-02  0.784365408616930E-04
